 ,Label,Area,Mean,Min,Max
389,D66 RB 0.jpg,271,9.8242,-40.3476,58.5136
390,D66 RB 0.jpg,182,7.4339,-28.2552,40.8543
391,D66 RB 0.jpg,213,0.7349,-58.2423,54.6181
392,D66 RB 0.jpg,527,16.7302,-45.8730,67.3184
393,D66 RB 0.jpg,1108,14.7587,-52.5512,60.7766
394,D66 RB 0.jpg,610,9.7329,-35.9647,77.0757
395,D66 RB 0.jpg,772,14.9784,-51.8757,64.4655
396,D66 RB 0.jpg,705,15.9207,-35.2379,73.5821
397,D66 RB 0.jpg,379,8.9812,-25.5212,50.1306
398,D66 RB 0.jpg,138,24.3589,-16.0144,60.6230
399,D66 RB 0.jpg,408,19.7845,-34.5282,63.4905
400,D66 RB 0.jpg,376,16.8874,-39.4433,53.9228
401,D66 RB 0.jpg,355,19.7008,-37.7902,61.6921
402,D66 RB 0.jpg,255,16.1903,-31.7144,68.7687
403,D66 RB 0.jpg,499,5.6809,-40.3171,49.3027
404,D66 RB 0.jpg,357,21.6053,-57.1178,74.2985
405,D66 RB 0.jpg,349,19.8383,-53.0943,65.3614
406,D66 RB 0.jpg,446,16.7629,-36.5216,50.0869
407,D66 RB 0.jpg,584,13.2627,-35.9584,65.4390
408,D66 RB 0.jpg,303,20.5758,-37.4743,63.7040
409,D66 RB 0.jpg,426,16.5699,-52.2206,68.4847
410,D66 RB 0.jpg,314,9.4375,-37.7968,52.4789
411,D66 RB 0.jpg,509,12.9755,-46.6264,64.6843
412,D66 RB 0.jpg,407,22.2149,-38.6462,69.8244
413,D66 RB 0.jpg,118,24.6473,-37.5473,60.7984
414,D66 RB 0.jpg,508,12.8093,-38.8426,65.2749
415,D66 RB 0.jpg,375,10.4141,-28.8888,53.2762
416,D66 RB 0.jpg,416,13.2913,-38.4825,70.8366
417,D66 RB 0.jpg,344,10.6112,-31.0134,56.6191
418,D66 RB 0.jpg,658,8.6429,-43.2001,73.3281
419,D66 RB 0.jpg,529,13.0582,-38.1911,76.4498
420,D66 RB 0.jpg,293,18.8712,-38.4646,57.1080
421,D66 RB 0.jpg,439,14.2929,-60.8182,67.5091
422,D66 RB 0.jpg,521,13.8590,-41.9271,68.7395
423,D66 RB 0.jpg,530,14.7278,-45.7390,57.2215
424,D66 RB 0.jpg,255,16.8094,-60.2169,56.7318
425,D66 RB 0.jpg,399,12.2205,-38.1440,47.9161
426,D66 RB 0.jpg,465,11.9409,-30.1317,63.4701
427,D66 RB 0.jpg,401,18.8663,-48.4091,54.5745
428,D66 RB 0.jpg,363,10.8355,-38.0773,58.8030
429,D66 RB 0.jpg,408,17.7745,-41.5144,59.6119
430,D66 RB 0.jpg,402,16.1689,-41.6612,60.9647
431,D66 RB 0.jpg,369,18.1333,-49.8028,60.5987
432,D66 RB 0.jpg,431,19.5219,-25.1358,59.8642
433,D66 RB 0.jpg,578,10.0410,-43.4482,61.4075
